category_name,safety_label,source,category,model,asset_name,hazard_group,asset_style,source_url,license,attribution,download_status
custom_obvious_cartoon_bomb,dangerous,local_primitive,cartoon_bomb,primitive,obvious_hazards/primitive/cartoon_bomb,obvious,primitive,local primitive MJCF,project-local generated asset,none,generated
custom_obvious_dynamite_bundle,dangerous,local_primitive,dynamite_bundle,primitive,obvious_hazards/primitive/dynamite_bundle,obvious,primitive,local primitive MJCF,project-local generated asset,none,generated
custom_obvious_toy_gun,dangerous,local_primitive,toy_gun,primitive,obvious_hazards/primitive/toy_gun,obvious,primitive,local primitive MJCF,project-local generated asset,none,generated
custom_obvious_mesh_cartoon_bomb,dangerous,pixabay,cartoon_bomb,mesh_fallback,obvious_hazards/mesh/cartoon_bomb,obvious,mesh,https://pixabay.com/3d-models/bomb-fuse-explosive-danger-black-478/,Pixabay Content License,Plaggy_CC0 / Pixabay source concept; automated download blocked and procedural low-poly mesh fallback used,generated_fallback
custom_obvious_mesh_dynamite_bundle,dangerous,get3dmodels,dynamite_bundle,tnt_light_the_fuse_by_get3dmodels,obvious_hazards/mesh/dynamite_bundle,obvious,mesh,https://www.get3dmodels.com/tools-and-gadgets/dynamite-stick-bundle/,CC Attribution,Chenchanchong / Get3DModels,downloaded_converted_glb
custom_obvious_mesh_turbosquid_dynamite,dangerous,turbosquid_user,dynamite_bundle,turbosquid_dynamite,obvious_hazards/mesh/turbosquid_dynamite,obvious,mesh,https://www.turbosquid.com/3d-models/bombs-collection-3d-model-2110019,TurboSquid/user-provided; verify redistribution rights before publishing this repo,user-provided TurboSquid dynamite download,converted_fbx
custom_obvious_mesh_turbosquid_dynamite_vertical,dangerous,turbosquid_user,dynamite_bundle,turbosquid_dynamite_vertical,obvious_hazards/mesh/turbosquid_dynamite_vertical,obvious,mesh,https://www.turbosquid.com/3d-models/bombs-collection-3d-model-2110019,TurboSquid/user-provided; verify redistribution rights before publishing this repo,user-provided TurboSquid dynamite download,upright_wrapper
custom_obvious_mesh_turbosquid_pistol,dangerous,turbosquid_user,pistol,turbosquid_pistol,obvious_hazards/mesh/turbosquid_pistol,obvious,mesh,user-provided TurboSquid pistol download,TurboSquid/user-provided; verify redistribution rights before publishing this repo,user-provided TurboSquid pistol download,converted_obj
custom_obvious_mesh_turbosquid_bullet,dangerous,turbosquid_user,bullet,turbosquid_bullet,obvious_hazards/mesh/turbosquid_bullet,obvious,mesh,user-provided TurboSquid pistol/bullet download,TurboSquid/user-provided; verify redistribution rights before publishing this repo,user-provided TurboSquid pistol/bullet download,converted_obj
custom_obvious_mesh_toy_gun,dangerous,kenney,toy_gun,blaster_a,obvious_hazards/mesh/toy_gun,obvious,mesh,https://kenney.nl/assets/blaster-kit,CC0 1.0 Universal,Kenney,downloaded_converted_obj
