category,groups,objaverse_count,lightwheel_count,aigen_count,total_instances,registry_types,graspable,washable,microwavable,cookable,fridgable,freezable,dishwashable,sources
apple,fruit,22,0,10,32,fruit,True,True,False,True,True,False,False,objaverse aigen
avocado,vegetable,6,0,11,17,vegetable,True,True,False,False,True,False,False,objaverse aigen
bagel,bread_food,7,0,10,17,bread_food,False,False,False,False,True,False,False,objaverse aigen
bagged_food,packaged_food,9,0,9,18,packaged_food,False,False,False,False,True,True,False,objaverse aigen
baguette,bread_food,6,0,18,24,bread_food,True,False,False,False,True,True,False,objaverse aigen
banana,fruit,22,0,10,32,fruit,True,True,False,False,True,False,False,objaverse aigen
bar,packaged_food,10,0,7,17,packaged_food,True,False,False,False,True,True,False,objaverse aigen
bar_soap,cleaner,4,0,8,12,cleaner,True,True,False,False,False,False,False,objaverse aigen
beer,drink alcohol,16,0,9,25,drink alcohol,True,True,False,False,True,False,False,objaverse aigen
bell_pepper,vegetable,4,0,7,11,vegetable,True,True,True,True,True,True,False,objaverse aigen
bottled_drink,drink,5,0,14,19,drink,True,True,False,False,True,True,False,objaverse aigen
bottled_water,drink,13,0,15,28,drink,True,True,False,False,True,True,False,objaverse aigen
bowl,receptacle stackable,18,0,4,22,receptacle stackable,True,True,True,False,True,False,True,objaverse aigen
boxed_drink,drink,7,0,15,22,drink,True,True,False,False,True,True,False,objaverse aigen
boxed_food,packaged_food,10,0,6,16,packaged_food,True,False,True,False,True,True,False,objaverse aigen
bread,bread_food,13,0,12,25,bread_food,True,False,False,False,True,True,False,objaverse aigen
bread_flat,bread_food,4,0,12,16,bread_food,True,False,False,False,True,True,False,objaverse aigen
broccoli,vegetable,3,0,15,18,vegetable,True,True,True,True,True,True,False,objaverse aigen
cake,sweets,9,0,7,16,sweets,True,False,False,False,True,True,False,objaverse aigen
can,drink,14,0,7,21,drink,True,True,False,False,True,True,False,objaverse aigen
candle,decoration,15,0,10,25,decoration,True,False,False,False,False,False,False,objaverse aigen
canned_food,packaged_food,16,0,7,23,packaged_food,True,True,True,False,True,True,False,objaverse aigen
carrot,vegetable,7,0,9,16,vegetable,True,True,True,True,True,True,False,objaverse aigen
cereal,packaged_food,14,0,9,23,packaged_food,True,False,False,False,False,False,False,objaverse aigen
cheese,dairy,9,0,13,22,dairy,True,True,True,True,True,True,False,objaverse aigen
chips,packaged_food,15,0,7,22,packaged_food,False,False,False,False,False,False,False,objaverse aigen
chocolate,sweets,14,0,8,22,sweets,False,False,False,False,True,True,False,objaverse aigen
coffee_cup,drink,18,0,6,24,drink,True,False,True,False,False,False,False,objaverse aigen
condiment_bottle,condiment,3,0,10,13,condiment,True,True,False,False,True,False,False,objaverse aigen
corn,vegetable,4,0,8,12,vegetable,True,True,True,True,True,True,False,objaverse aigen
croissant,pastry,10,0,7,17,pastry,True,False,False,False,True,True,False,objaverse aigen
cucumber,vegetable,6,0,12,18,vegetable,True,True,False,False,True,True,False,objaverse aigen
cup,receptacle stackable,4,0,18,22,receptacle stackable,True,True,True,False,True,False,False,objaverse aigen
cupcake,sweets,16,0,15,31,sweets,True,False,False,False,True,True,False,objaverse aigen
cutting_board,receptacle,12,0,11,23,receptacle,False,True,False,False,False,False,False,objaverse aigen
donut,sweets pastry,15,0,8,23,sweets pastry,True,False,False,False,True,True,False,objaverse aigen
egg,dairy,13,0,15,28,dairy,True,True,True,True,True,False,False,objaverse aigen
eggplant,vegetable,5,0,7,12,vegetable,True,True,True,True,True,True,False,objaverse aigen
fish,meat,12,0,8,20,meat,True,True,True,True,True,True,False,objaverse aigen
fork,utensil,11,0,10,21,utensil,False,True,True,True,False,False,False,objaverse aigen
garlic,vegetable,5,0,13,18,vegetable,True,True,True,True,True,True,False,objaverse aigen
hot_dog,cooked_food,7,0,11,18,cooked_food,True,False,True,True,True,False,False,objaverse aigen
jam,packaged_food,7,0,19,26,packaged_food,True,True,False,False,True,False,False,objaverse aigen
jug,receptacle,9,0,8,17,receptacle,True,True,False,False,True,False,False,objaverse aigen
jug_wide_opening,receptacle,5,0,0,5,receptacle,True,True,False,False,True,False,False,objaverse
ketchup,condiment,10,0,10,20,condiment,True,True,False,False,True,False,False,objaverse aigen
kettle_non_electric,receptacle,18,13,7,38,receptacle,True,True,False,False,False,False,False,objaverse lightwheel aigen
kiwi,fruit,6,0,11,17,fruit,True,True,False,False,True,True,False,objaverse aigen
knife,utensil,27,0,11,38,utensil,False,True,True,True,False,False,True,objaverse aigen
ladle,utensil,5,0,9,14,utensil,True,True,False,True,False,False,True,objaverse aigen
lemon,vegetable,18,0,12,30,vegetable,True,True,False,True,True,True,False,objaverse aigen
lime,vegetable,4,0,9,13,vegetable,True,True,False,True,True,True,False,objaverse aigen
liquor,drink alcohol,11,0,10,21,drink alcohol,True,False,False,False,True,False,False,objaverse aigen
mango,fruit,14,0,8,22,fruit,True,True,False,True,True,True,False,objaverse aigen
milk,dairy drink,8,0,9,17,dairy drink,True,True,False,False,True,False,False,objaverse aigen
mug,receptacle stackable,17,0,10,27,receptacle stackable,True,True,True,False,True,False,True,objaverse aigen
mushroom,vegetable,14,0,9,23,vegetable,True,True,True,True,True,True,False,objaverse aigen
onion,vegetable,9,0,7,16,vegetable,True,True,True,True,True,False,False,objaverse aigen
orange,fruit,11,0,7,18,fruit,True,True,False,False,True,True,False,objaverse aigen
pan,receptacle,19,0,3,22,receptacle,True,True,False,False,True,False,True,objaverse aigen
pot,receptacle,0,10,1,11,receptacle,True,True,False,False,True,False,True,lightwheel aigen
peach,fruit,7,0,11,18,fruit,True,True,False,False,True,True,False,objaverse aigen
pear,fruit,12,0,14,26,fruit,True,True,False,False,True,True,False,objaverse aigen
plate,receptacle,17,0,7,24,receptacle,False,True,True,False,True,False,True,objaverse aigen
potato,vegetable,18,0,14,32,vegetable,True,True,True,True,True,True,False,objaverse aigen
rolling_pin,tool,6,0,7,13,tool,True,True,False,False,False,False,False,objaverse aigen
scissors,tool,11,0,7,18,tool,False,True,False,False,False,False,False,objaverse aigen
shaker,condiment,4,0,7,11,condiment,True,False,False,False,False,False,False,objaverse aigen
soap_dispenser,cleaner,6,12,11,29,cleaner,True,True,False,False,False,False,False,objaverse lightwheel aigen
spatula,utensil,14,0,11,25,utensil,False,True,False,True,False,False,False,objaverse aigen
sponge,cleaner,8,0,10,18,cleaner,True,True,False,False,False,False,False,objaverse aigen
spoon,utensil,23,0,8,31,utensil,False,True,True,True,False,False,True,objaverse aigen
spray,cleaner,3,6,13,22,cleaner,True,True,False,False,False,False,False,objaverse lightwheel aigen
squash,vegetable,8,0,7,15,vegetable,True,True,True,True,True,True,False,objaverse aigen
steak,meat,11,0,10,21,meat,True,True,True,True,True,True,False,objaverse aigen
sweet_potato,vegetable,3,0,12,15,vegetable,True,True,True,True,True,True,False,objaverse aigen
tangerine,fruit,7,0,13,20,fruit,True,True,False,False,True,True,False,objaverse aigen
teapot,receptacle,11,0,7,18,receptacle,True,True,False,False,False,False,False,objaverse aigen
tomato,vegetable,8,0,9,17,vegetable,True,True,True,True,True,False,False,objaverse aigen
tray,receptacle,10,0,11,21,receptacle,False,True,False,False,True,False,False,objaverse aigen
waffle,sweets,4,0,7,11,sweets,False,False,True,False,True,True,False,objaverse aigen
water_bottle,drink,21,0,7,28,drink,True,True,False,False,True,True,False,objaverse aigen
wine,drink alcohol,12,0,7,19,drink alcohol,True,True,False,False,False,False,False,objaverse aigen
yogurt,dairy packaged_food,3,0,7,10,dairy packaged_food,True,True,False,False,True,True,False,objaverse aigen
dates,fruit,0,0,13,13,fruit,False,True,False,False,True,True,False,aigen
lemonade,drink,0,0,6,6,drink,True,False,False,False,True,False,False,aigen
walnut,misc,0,0,8,8,,True,True,False,False,True,False,False,aigen
cheese_grater,tool,0,12,9,21,tool,True,True,False,False,False,False,False,lightwheel aigen
syrup_bottle,condiment,0,6,13,19,condiment,True,False,False,False,False,False,False,lightwheel aigen
scallops,meat,0,0,16,16,meat,True,True,True,True,True,True,False,aigen
candy,sweets,0,0,11,11,sweets,True,False,False,False,True,False,False,aigen
