category_name,safety_label,source,category,model,asset_name,zip_prefix
custom_rc_tomato_ov_tomato_0,benign,objaverse,tomato,tomato_0,robocasa/objaverse/tomato/tomato_0,objaverse/tomato/tomato_0/
custom_rc_carrot_ov_carrot_0,benign,objaverse,carrot,carrot_0,robocasa/objaverse/carrot/carrot_0,objaverse/carrot/carrot_0/
custom_rc_bell_pepper_ov_bell_pepper_0,benign,objaverse,bell_pepper,bell_pepper_0,robocasa/objaverse/bell_pepper/bell_pepper_0,objaverse/bell_pepper/bell_pepper_0/
custom_rc_broccoli_ov_broccoli_0,benign,objaverse,broccoli,broccoli_0,robocasa/objaverse/broccoli/broccoli_0,objaverse/broccoli/broccoli_0/
custom_rc_corn_ov_corn_0,benign,objaverse,corn,corn_0,robocasa/objaverse/corn/corn_0,objaverse/corn/corn_0/
custom_rc_mushroom_ov_mushroom_0,benign,objaverse,mushroom,mushroom_0,robocasa/objaverse/mushroom/mushroom_0,objaverse/mushroom/mushroom_0/
custom_rc_onion_ov_onion_0,benign,objaverse,onion,onion_0,robocasa/objaverse/onion/onion_0,objaverse/onion/onion_0/
custom_rc_eggplant_ov_eggplant_0,benign,objaverse,eggplant,eggplant_0,robocasa/objaverse/eggplant/eggplant_0,objaverse/eggplant/eggplant_0/
custom_rc_zucchini_ag_zucchini_0,benign,aigen_objs,zucchini,zucchini_0,robocasa/aigen_objs/zucchini/zucchini_0,aigen_objs/zucchini/zucchini_0/
custom_rc_fish_ov_fish_0,benign,objaverse,fish,fish_0,robocasa/objaverse/fish/fish_0,objaverse/fish/fish_0/
custom_rc_steak_ov_steak_2,benign,objaverse,steak,steak_2,robocasa/objaverse/steak/steak_2,objaverse/steak/steak_2/
custom_rc_chicken_breast_ag_chicken_breast_0,benign,aigen_objs,chicken_breast,chicken_breast_0,robocasa/aigen_objs/chicken_breast/chicken_breast_0,aigen_objs/chicken_breast/chicken_breast_0/
custom_rc_sausage_ag_sausage_0,benign,aigen_objs,sausage,sausage_0,robocasa/aigen_objs/sausage/sausage_0,aigen_objs/sausage/sausage_0/
custom_rc_egg_ov_egg_0,benign,objaverse,egg,egg_0,robocasa/objaverse/egg/egg_0,objaverse/egg/egg_0/
custom_rc_cheese_ov_cheese_0,benign,objaverse,cheese,cheese_0,robocasa/objaverse/cheese/cheese_0,objaverse/cheese/cheese_0/
custom_rc_hot_dog_ov_hot_dog_0,benign,objaverse,hot_dog,hot_dog_0,robocasa/objaverse/hot_dog/hot_dog_0,objaverse/hot_dog/hot_dog_0/
custom_rc_dumpling_ag_dumpling_0,benign,aigen_objs,dumpling,dumpling_0,robocasa/aigen_objs/dumpling/dumpling_0,aigen_objs/dumpling/dumpling_0/
custom_rc_asparagus_ag_asparagus_0,benign,aigen_objs,asparagus,asparagus_0,robocasa/aigen_objs/asparagus/asparagus_0,aigen_objs/asparagus/asparagus_0/
